analysis	regime	cell_id	m_PB	m_TV	N	c_bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	bias	mcse_bias	coverage
one_component	alt	63	6	2	100	0.45	1000	1000	1	1	0	-2.25851128829215	-0.00851128829214964	0.00906526750089739	0.964
phase_augmented	alt	63	6	2	100	0.45	1000	1000	1	0.997	0.00172945077987204	-2.26603251054515	-0.016032510545152	0.0131048522862795	0.973
one_component	alt	64	6	2	150	0.45	1000	1000	1	1	0	-2.2599653211988	-0.00996532119879889	0.0070430691041845	0.986
phase_augmented	alt	64	6	2	150	0.45	1000	1000	1	1	0	-2.2724534485126	-0.0224534485125978	0.0105790959304439	0.974
one_component	alt	65	10	-1	35	0.45	1000	1000	1	0.544	0.0157500476189756	-2.2675831697269	-0.017583169726898	0.0279450292380186	0.989
phase_augmented	alt	65	10	-1	35	0.45	1000	1000	1	0.348	0.0150630674166984	-2.25759942200513	-0.00759942200512764	0.0446333667377504	0.958
one_component	alt	66	10	-1	70	0.45	1000	1000	1	0.885	0.0100883596287999	-2.22111174879461	0.0288882512053945	0.0187360862051587	0.984
phase_augmented	alt	66	10	-1	70	0.45	1000	1000	1	0.624	0.015317441039547	-2.23143895548604	0.0185610445139557	0.0299401128476811	0.954
one_component	alt	67	10	-1	100	0.45	1000	1000	1	1	0	-2.24672250399135	0.00327749600864635	0.00846852738585305	0.98
phase_augmented	alt	67	10	-1	100	0.45	1000	1000	1	1	0	-2.24419336178363	0.00580663821636618	0.0121316916646424	0.987
one_component	alt	68	10	-1	150	0.45	1000	1000	1	1	0	-2.24129549565732	0.00870450434267767	0.00712610802951032	0.978
phase_augmented	alt	68	10	-1	150	0.45	1000	1000	1	1	0	-2.2409831693061	0.0090168306938998	0.0103496620282527	0.981
one_component	alt	69	10	0	35	0.45	1000	1000	1	0.525	0.0157916116973538	-2.234503179788	0.0154968202119998	0.0262143556892848	0.992
phase_augmented	alt	69	10	0	35	0.45	1000	1000	1	0.327	0.0148347901906296	-2.23924007676296	0.010759923237043	0.0431693089170674	0.972
one_component	alt	70	10	0	70	0.45	1000	1000	1	0.892	0.00981509042240569	-2.2351259193121	0.0148740806878975	0.0178165387974982	0.992
phase_augmented	alt	70	10	0	70	0.45	1000	1000	1	0.624	0.015317441039547	-2.24291937248778	0.00708062751222283	0.029121640622043	0.969
one_component	alt	71	10	0	100	0.45	1000	1000	1	1	0	-2.26125220075468	-0.0112522007546842	0.00852710302419678	0.978
phase_augmented	alt	71	10	0	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.2660922999395	-0.0160922999394995	0.0123212300873118	0.981
one_component	alt	72	10	0	150	0.45	1000	1000	1	1	0	-2.25325967790995	-0.00325967790994719	0.00699060185911032	0.975
phase_augmented	alt	72	10	0	150	0.45	1000	1000	1	1	0	-2.25112858174832	-0.0011285817483242	0.0103224825826764	0.978
one_component	alt	73	10	1	35	0.45	1000	1000	1	0.54	0.0157607106438764	-2.25748058657377	-0.00748058657376838	0.0275619868433627	0.987
phase_augmented	alt	73	10	1	35	0.45	1000	999	0.999	0.336336336336336	0.0149478307067958	-2.28565745990083	-0.0356574599008304	0.0445136179571025	0.958958958958959
one_component	alt	74	10	1	70	0.45	1000	1000	1	0.863	0.0108734079294396	-2.24374517865367	0.00625482134632582	0.0186064503295852	0.99
phase_augmented	alt	74	10	1	70	0.45	1000	1000	1	0.623	0.0153255016231117	-2.25375653375612	-0.0037565337561194	0.0297000236658397	0.965
one_component	alt	75	10	1	100	0.45	1000	1000	1	1	0	-2.24827199800701	0.00172800199298839	0.00848216414984161	0.981
phase_augmented	alt	75	10	1	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.25311202948034	-0.00311202948034106	0.0126638220991115	0.985
one_component	alt	76	10	1	150	0.45	1000	1000	1	1	0	-2.24539111864169	0.0046088813583145	0.00692988796123852	0.987
phase_augmented	alt	76	10	1	150	0.45	1000	1000	1	1	0	-2.2238915079052	0.0261084920947998	0.0105064755874242	0.976
one_component	alt	77	10	2	35	0.45	1000	1000	1	0.539	0.0157632166768081	-2.26174286955366	-0.0117428695536574	0.027163032341397	0.99
phase_augmented	alt	77	10	2	35	0.45	1000	1000	1	0.35	0.0150831031289984	-2.24208412751972	0.00791587248028458	0.0437177074983821	0.963
one_component	alt	78	10	2	70	0.45	1000	1000	1	0.862	0.0109066951914867	-2.22091794006715	0.0290820599328518	0.0190866842479897	0.988
phase_augmented	alt	78	10	2	70	0.45	1000	1000	1	0.619	0.0153570504980611	-2.23189445834634	0.0181055416536564	0.030791857823327	0.953
one_component	alt	79	10	2	100	0.45	1000	1000	1	1	0	-2.24923128718119	0.000768712818806971	0.0086399812066559	0.971
phase_augmented	alt	79	10	2	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.23998647331642	0.0100135266835761	0.0124106767269277	0.987
one_component	alt	80	10	2	150	0.45	1000	1000	1	1	0	-2.2443977289404	0.0056022710595971	0.00665676448385739	0.985
phase_augmented	alt	80	10	2	150	0.45	1000	1000	1	1	0	-2.24052418260581	0.00947581739419023	0.00975627315091864	0.987
one_component	null	81	0	0	35	0	5000	5000	1	0.0326	0.00251146331846595	0.00443826968187568	0.00443826968187568	0.0136645290927823	0.9664
phase_augmented	null	81	0	0	35	0	5000	4998	0.9996	0.0492196878751501	0.00305992929772036	-0.0051507411672937	-0.0051507411672937	0.0206849629147068	0.949179671868748
one_component	null	82	0	0	70	0	5000	5000	1	0.0306	0.00243571919563812	-0.00666919395362096	-0.00666919395362096	0.00925114110234479	0.9692
phase_augmented	null	82	0	0	70	0	5000	5000	1	0.0476	0.00301112072159188	-0.0137613122513886	-0.0137613122513886	0.0140159867959367	0.9524
one_component	null	83	0	0	100	0	5000	5000	1	0.0558	0.00324611644892786	0.00326471340571693	0.00326471340571693	0.00440759264434695	0.9442
phase_augmented	null	83	0	0	100	0	5000	5000	1	0.038	0.0027039230758289	0.0016851723523904	0.0016851723523904	0.00600203676397903	0.962
one_component	null	84	0	0	150	0	5000	5000	1	0.0534	0.00317957355631223	-0.00659696515253137	-0.00659696515253137	0.00361981131884538	0.9466
phase_augmented	null	84	0	0	150	0	5000	5000	1	0.0382	0.0027107474983849	-0.00596527665893969	-0.00596527665893969	0.00486296694007695	0.9618
